X: (V*s),Y: (Hits)
-4.06161e-09,0
-3.89841e-09,0
-3.73522e-09,0
-3.57202e-09,0
-3.40883e-09,0
-3.24564e-09,0
-3.08244e-09,0
-2.91925e-09,0
-2.75605e-09,0
-2.59286e-09,0
-2.42966e-09,0
-2.26647e-09,0
-2.10328e-09,0
-1.94008e-09,0
-1.77689e-09,0
-1.61369e-09,0
-1.4505e-09,0
-1.28731e-09,0
-1.12411e-09,0
-9.60918e-10,0
-7.97724e-10,0
-6.3453e-10,0
-4.71336e-10,0
-3.08142e-10,1
-1.44948e-10,1
1.82462e-11,0
1.8144e-10,0
3.44634e-10,0
5.07828e-10,0
6.71023e-10,0
8.34217e-10,0
9.97411e-10,0
1.1606e-09,2
1.3238e-09,1
1.48699e-09,3
1.65019e-09,3
1.81338e-09,11
1.97658e-09,22
2.13977e-09,39
2.30296e-09,78
2.46616e-09,126
2.62935e-09,188
2.79255e-09,309
2.95574e-09,395
3.11893e-09,563
3.28213e-09,724
3.44532e-09,982
3.60852e-09,1176
3.77171e-09,1466
3.9349e-09,1824
4.0981e-09,2161
4.26129e-09,2512
4.42449e-09,2850
4.58768e-09,3146
4.75087e-09,3284
4.91407e-09,3520
5.07726e-09,3477
5.24046e-09,3717
5.40365e-09,3696
5.56684e-09,3780
5.73004e-09,3835
5.89323e-09,3877
6.05643e-09,4052
6.21962e-09,4004
6.38282e-09,4066
6.54601e-09,4098
6.7092e-09,4031
6.8724e-09,4141
7.03559e-09,3956
7.19879e-09,3955
7.36198e-09,3812
7.52517e-09,3734
7.68837e-09,3811
7.85156e-09,3677
8.01476e-09,3574
8.17795e-09,3463
8.34114e-09,3495
8.50434e-09,3481
8.66753e-09,3478
8.83073e-09,3270
8.99392e-09,3264
9.15711e-09,3164
9.32031e-09,3066
9.4835e-09,3169
9.6467e-09,3158
9.80989e-09,2929
9.97308e-09,2868
1.01363e-08,2846
1.02995e-08,2818
1.04627e-08,2561
1.06259e-08,2615
1.07891e-08,2454
1.09522e-08,2417
1.11154e-08,2322
1.12786e-08,2366
1.14418e-08,2212
1.1605e-08,2154
1.17682e-08,2073
1.19314e-08,1927
1.20946e-08,1882
1.22578e-08,1817
1.2421e-08,1813
1.25842e-08,1734
1.27474e-08,1688
1.29106e-08,1602
1.30738e-08,1483
1.3237e-08,1455
1.34002e-08,1428
1.35634e-08,1462
1.37265e-08,1327
1.38897e-08,1277
1.40529e-08,1322
1.42161e-08,1234
1.43793e-08,1183
1.45425e-08,1108
1.47057e-08,1085
1.48689e-08,1015
1.50321e-08,958
1.51953e-08,868
1.53585e-08,837
1.55217e-08,758
1.56849e-08,741
1.58481e-08,689
1.60113e-08,663
1.61745e-08,640
1.63377e-08,588
1.65008e-08,583
1.6664e-08,566
1.68272e-08,473
1.69904e-08,447
1.71536e-08,482
1.73168e-08,402
1.748e-08,417
1.76432e-08,390
1.78064e-08,355
1.79696e-08,310
1.81328e-08,329
1.8296e-08,297
1.84592e-08,263
1.86224e-08,244
1.87856e-08,251
1.89488e-08,211
1.9112e-08,222
1.92751e-08,174
1.94383e-08,173
1.96015e-08,162
1.97647e-08,154
1.99279e-08,137
2.00911e-08,143
2.02543e-08,145
2.04175e-08,119
2.05807e-08,107
2.07439e-08,98
2.09071e-08,90
2.10703e-08,98
2.12335e-08,90
2.13967e-08,76
2.15599e-08,84
2.17231e-08,60
2.18863e-08,62
2.20494e-08,64
2.22126e-08,48
2.23758e-08,40
2.2539e-08,36
2.27022e-08,38
2.28654e-08,21
2.30286e-08,33
2.31918e-08,34
2.3355e-08,19
2.35182e-08,16
2.36814e-08,22
2.38446e-08,10
2.40078e-08,11
2.4171e-08,16
2.43342e-08,0
2.44974e-08,7
2.46606e-08,4
2.48237e-08,4
2.49869e-08,5
2.51501e-08,3
2.53133e-08,3
2.54765e-08,1
2.56397e-08,5
2.58029e-08,1
2.59661e-08,1
2.61293e-08,2
2.62925e-08,1
2.64557e-08,4
2.66189e-08,0
2.67821e-08,1
2.69453e-08,3
2.71085e-08,0
2.72717e-08,1
2.74349e-08,0
2.7598e-08,1
2.77612e-08,1
2.79244e-08,2
2.80876e-08,0
2.82508e-08,1
2.8414e-08,2
2.85772e-08,3
2.87404e-08,0
2.89036e-08,1
2.90668e-08,4
2.923e-08,0
2.93932e-08,0
2.95564e-08,0
2.97196e-08,1
2.98828e-08,1
3.0046e-08,1
3.02092e-08,1
3.03723e-08,0
3.05355e-08,2
3.06987e-08,0
3.08619e-08,0
3.10251e-08,1
3.11883e-08,1
3.13515e-08,1
3.15147e-08,2
3.16779e-08,1
3.18411e-08,1
3.20043e-08,1
3.21675e-08,0
3.23307e-08,0
3.24939e-08,1
3.26571e-08,0
3.28203e-08,0
3.29834e-08,1
3.31466e-08,1
3.33098e-08,0
3.3473e-08,1
3.36362e-08,3
3.37994e-08,0
3.39626e-08,0
3.41258e-08,0
3.4289e-08,0
3.44522e-08,2
3.46154e-08,1
3.47786e-08,1
3.49418e-08,0
3.5105e-08,1
3.52682e-08,1
3.54314e-08,0
3.55946e-08,0
3.57577e-08,0
3.59209e-08,0
3.60841e-08,0
3.62473e-08,0
3.64105e-08,0
3.65737e-08,0
3.67369e-08,0
3.69001e-08,0
3.70633e-08,0
3.72265e-08,2
3.73897e-08,0
3.75529e-08,0
3.77161e-08,1
3.78793e-08,0
3.80425e-08,0
3.82057e-08,1
3.83689e-08,0
3.8532e-08,0
3.86952e-08,1
3.88584e-08,0
3.90216e-08,0
3.91848e-08,0
3.9348e-08,0
3.95112e-08,0
3.96744e-08,0
3.98376e-08,0
4.00008e-08,3
4.0164e-08,0
4.03272e-08,1
4.04904e-08,0
4.06536e-08,0
4.08168e-08,1
4.098e-08,0
4.11432e-08,0
4.13063e-08,1
4.14695e-08,0
4.16327e-08,0
4.17959e-08,0
4.19591e-08,0
4.21223e-08,0
4.22855e-08,2
4.24487e-08,1
4.26119e-08,0
4.27751e-08,1
4.29383e-08,0
4.31015e-08,0
4.32647e-08,0
4.34279e-08,0
4.35911e-08,0
4.37543e-08,0
4.39175e-08,0
4.40806e-08,0
4.42438e-08,0
4.4407e-08,0
4.45702e-08,0
4.47334e-08,0
4.48966e-08,0
4.50598e-08,0
4.5223e-08,0
4.53862e-08,0
4.55494e-08,0
4.57126e-08,0
4.58758e-08,0
4.6039e-08,0
4.62022e-08,0
4.63654e-08,0
4.65286e-08,0
4.66918e-08,0
4.68549e-08,0
4.70181e-08,0
4.71813e-08,0
4.73445e-08,0
4.75077e-08,0
4.76709e-08,0
4.78341e-08,0
4.79973e-08,0
4.81605e-08,0
4.83237e-08,0
4.84869e-08,1
4.86501e-08,1
4.88133e-08,1
4.89765e-08,0
4.91397e-08,0
4.93029e-08,0
4.94661e-08,0
4.96292e-08,1
4.97924e-08,0
4.99556e-08,0
5.01188e-08,0
5.0282e-08,2
5.04452e-08,0
5.06084e-08,0
5.07716e-08,0
5.09348e-08,0
5.1098e-08,0
5.12612e-08,0
5.14244e-08,0
5.15876e-08,0
5.17508e-08,0
5.1914e-08,0
5.20772e-08,0
5.22404e-08,0
5.24035e-08,0
5.25667e-08,0
5.27299e-08,0
5.28931e-08,1
5.30563e-08,0
5.32195e-08,0
5.33827e-08,0
5.35459e-08,0
5.37091e-08,0
5.38723e-08,1
5.40355e-08,0
5.41987e-08,0
5.43619e-08,0
5.45251e-08,0
5.46883e-08,0
5.48515e-08,0
5.50147e-08,0
5.51778e-08,1
5.5341e-08,0
5.55042e-08,1
5.56674e-08,0
5.58306e-08,0
5.59938e-08,0
5.6157e-08,0
5.63202e-08,0
5.64834e-08,1
5.66466e-08,0
5.68098e-08,0
5.6973e-08,0
5.71362e-08,0
5.72994e-08,0
5.74626e-08,0
5.76258e-08,0
5.77889e-08,0
5.79521e-08,0
5.81153e-08,0
5.82785e-08,0
5.84417e-08,0
5.86049e-08,0
5.87681e-08,1
5.89313e-08,0
5.90945e-08,0
5.92577e-08,0
5.94209e-08,0
5.95841e-08,0
5.97473e-08,0
5.99105e-08,0
6.00737e-08,1
6.02369e-08,0
6.04001e-08,0
6.05632e-08,0
6.07264e-08,0
6.08896e-08,1
6.10528e-08,1
6.1216e-08,1
6.13792e-08,0
6.15424e-08,0
6.17056e-08,0
6.18688e-08,0
6.2032e-08,0
6.21952e-08,0
6.23584e-08,0
6.25216e-08,0
6.26848e-08,0
6.2848e-08,0
6.30112e-08,0
6.31744e-08,1
6.33375e-08,0
6.35007e-08,0
6.36639e-08,0
6.38271e-08,0
6.39903e-08,0
6.41535e-08,1
6.43167e-08,0
6.44799e-08,0
6.46431e-08,0
6.48063e-08,0
6.49695e-08,1
6.51327e-08,0
6.52959e-08,1
6.54591e-08,0
6.56223e-08,0
6.57855e-08,0
6.59487e-08,0
6.61118e-08,0
6.6275e-08,0
6.64382e-08,0
6.66014e-08,0
6.67646e-08,0
6.69278e-08,0
6.7091e-08,0
6.72542e-08,0
6.74174e-08,0
6.75806e-08,0
6.77438e-08,0
6.7907e-08,0
6.80702e-08,0
6.82334e-08,0
6.83966e-08,0
6.85598e-08,0
6.8723e-08,0
6.88861e-08,0
6.90493e-08,0
6.92125e-08,0
6.93757e-08,0
6.95389e-08,0
6.97021e-08,0
6.98653e-08,0
7.00285e-08,0
7.01917e-08,0
7.03549e-08,0
7.05181e-08,0
7.06813e-08,0
7.08445e-08,0
7.10077e-08,0
7.11709e-08,0
7.13341e-08,0
7.14973e-08,0
7.16604e-08,0
7.18236e-08,0
7.19868e-08,0
7.215e-08,0
7.23132e-08,0
7.24764e-08,1
7.26396e-08,0
7.28028e-08,0
7.2966e-08,0
7.31292e-08,0
7.32924e-08,0
7.34556e-08,0
7.36188e-08,0
7.3782e-08,0
7.39452e-08,0
7.41084e-08,0
7.42716e-08,0
7.44347e-08,0
7.45979e-08,0
7.47611e-08,0
7.49243e-08,0
7.50875e-08,0
7.52507e-08,0
7.54139e-08,0
7.55771e-08,0
7.57403e-08,0
7.59035e-08,0
7.60667e-08,0
7.62299e-08,0
7.63931e-08,0
7.65563e-08,0
7.67195e-08,0
7.68827e-08,0
7.70459e-08,0
7.7209e-08,0
7.73722e-08,0
